Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Extreme_Event
2015-01-05,23.635282516479492,26.5625,27.162500381469727,26.352500915527344,27.072500228881836,257142000,-2.8171791019480863,0
2015-01-06,23.637510299682617,26.565000534057617,26.857500076293945,26.157499313354492,26.635000228881836,263188400,0.009425667755702527,0
2015-01-07,23.96895980834961,26.9375,27.049999237060547,26.674999237060547,26.799999237060547,160423600,1.402218357453,1
2015-01-08,24.889902114868164,27.97249984741211,28.037500381469727,27.174999237060547,27.3075008392334,237458000,3.8422289239174345,0
2015-01-09,24.916597366333008,28.002500534057617,28.3125,27.552499771118164,28.167499542236328,214798000,0.10725334049785928,1
2015-01-12,24.302631378173828,27.3125,28.157499313354492,27.200000762939453,28.149999618530273,198603200,-2.464084397770794,0
2015-01-13,24.518404006958008,27.55500030517578,28.200000762939453,27.227500915527344,27.857500076293945,268367600,0.8878570613467085,0
2015-01-14,24.42498016357422,27.450000762939453,27.622499465942383,27.125,27.260000228881836,195826400,-0.3810355819133915,1
2015-01-15,23.762086868286133,26.704999923706055,27.514999389648438,26.665000915527344,27.5,240056000,-2.7139972718449923,0
2015-01-16,23.577451705932617,26.497499465942383,26.895000457763672,26.299999237060547,26.75749969482422,314053200,-0.7770157704453884,1
2015-01-20,24.184736251831055,27.18000030517578,27.24250030517578,26.625,26.959999084472656,199599600,2.575700518752977,0
2015-01-21,24.369375228881836,27.387500762939453,27.764999389648438,27.0674991607666,27.237499237060547,194303600,0.7634525145454152,1
2015-01-22,25.00334930419922,28.100000381469727,28.11750030517578,27.43000030517578,27.565000534057617,215185600,2.601519609604175,0
2015-01-23,25.13237953186035,28.2450008392334,28.4375,27.88249969482422,28.075000762939453,185859200,0.5160517740695703,0
2015-01-26,25.1590633392334,28.274999618530273,28.59000015258789,28.200000762939453,28.434999465942383,222460000,0.1061730240832226,1
2015-01-27,24.278169631958008,27.28499984741211,28.1200008392334,27.25749969482422,28.104999542236328,382274800,-3.501297704917783,1
2015-01-28,25.650686264038086,28.827499389648438,29.530000686645508,28.827499389648438,29.407499313354492,585908400,5.653295338514308,1
2015-01-29,26.449275970458984,29.725000381469727,29.797500610351562,28.889999389648438,29.079999923706055,337745600,3.113326864632504,0
2015-01-30,26.06221580505371,29.290000915527344,30.0,29.212499618530273,29.600000381469727,334982000,-1.4634055232270904,0
2015-02-02,26.38921356201172,29.657499313354492,29.792499542236328,29.020000457763672,29.512500762939453,250956400,1.2546813340966967,0
2015-02-03,26.393665313720703,29.662500381469727,29.772499084472656,29.40250015258789,29.625,207662800,0.01686958839650643,0
